name,count
GoogleSymbolUtilities           ,394
InMobiSDK                       ,6
SSWeChatSDK                     ,1
UMengUShare                     ,297
MillennialMediaSDK              ,28
FirebaseAppIndexing             ,43
AppsFlyer-SDK                   ,25
GoogleAnalytics-iOS-SDK         ,18
GoogleTagManager                ,375
Batch                           ,17
NendSDK_iOS                     ,7
GoogleNetworkingUtilities       ,312
UMengMessage-NO-IDFA-SUN        ,2
BugSense                        ,1
Bugly                           ,1
GoogleAuthUtilities             ,142
CAUMengSocial                   ,5
UMengSocialCOM                  ,15
ProximityKit                    ,1
Netmera-iOS-SDK                 ,1
GoogleUtilities                 ,2080
MMUMOpenIM                      ,8
YozioIOSSDK                     ,6
GoogleSignIn                    ,243
catest                          ,6
SmartAdServer-DisplaySDK        ,3
Google-Mobile-Ads-SDK           ,18
GoogleIDFASupport               ,529
BRRecord                        ,912
Heap                            ,6
GooglePlusUtilities             ,28
WePay                           ,13
google-plus-ios-sdk             ,1
PLCrashReporter                 ,51
Weixin                          ,18
UMengSocial                     ,5
TapSenseAds                     ,6
(37 rows)
