               hash               | count  | len  
----------------------------------+--------+------
 3abb67ad0e7e9a4949d70bc271053b02 |   4047 | 7283
 cd584aa1613dd32111f365db0ba14572 |   4050 | 7275
 b86293eef66af0f6c1b47a83638e3359 |   4050 | 7274
 cdf9e0d6086f290ea890916300354ea8 |   4050 | 7269
 6813e80fc552f82b9b9174819d977fd1 |   4048 | 7263
 3142f501be5cd7ec0c01acd1e565474e |   4050 | 7262
 41ccca0d5b4a3fd368ea4b4885c2773f |   4050 | 7252
 6807f7ead3cdf5ab4e0c2ff4070c7b75 |   4048 | 7251
 3b36d4b2fb2bdb199a4d1eabee6ddb86 |   4050 | 7240
 45003ff15436a16733cca5b781e75668 |   4050 | 7216
 fc26a3da3d49a1b40915daf26aabcd0a |   4048 | 7096
 d7a8741fe659ede867a48cbd637856c9 |    545 | 2698
 eeb57e770b3f5e57037e65e04502a21d |    545 | 2627
 2d0a65e6280154f54d72238b4a523c7c |    545 | 2596
 2f6fb6c112fea0890df218ccba78972b |    545 | 2584
 9aa4e4a05cddebe6eda87715d9492374 |    544 | 2561
 ab47397c7d1f30b445245e7f1ad5cb7d |    545 | 2561
 dab7f2d038f8631f5be06002717e23bc |    545 | 2558
 36bc49239156678e4de3fd23f80d0894 |    545 | 2532
 3b717ca8adbe5671c9fc3fd66e4b5b2a |    545 | 2505
 8fe116cc8de1d248c92f75f6b1fc11c6 |    545 | 2472
 dd9d01232265e2a8b7e242a8e9f0dc5d |    545 | 2456 //codegen
 5563e698bd13cb70f79b7ae694680838 |   4050 |  878
 9fdd77089cd3a7311f54a6567867b00f |    751 |  878 //garbage
 db9444f867f0381fcff57e6007e2e3f3 |    545 |  321 //garbage
 7233438c01b464d6a627a3975289440b |    879 |  191 //Unity
 fd00c14e18ff71f9b00c4b2e2b07084a |    879 |  191 //Unity
 d0ee9cc4c78d6b98a452a840e8ef25b1 |    562 |  140 //libc++ 
 c2853f01d5ff11cb2a1b1bc09fd6cccc |    631 |   82 //libc++
 e94b9e4982a2040fed36cd6b20afce3d |   1647 |   65 //libc++
 c919b07e696ddaf07811240faeee2c05 |    666 |   60 //copy_helper_block
 05c4d6f59858054b8a736a69a5ca6cf6 |   2230 |   52 //PlausibleCrashReporter
 b3945e101d2a45d4f9915bfbf6034e39 |    508 |   52 //PlausibleCrashReporter
 f22af6597361043c732da553d450f2cc |   1055 |   52 //facebook
 ddb10f028c5a2056ec56c21be0d20462 |   1882 |   50
 00413288ecd7d3f90df07f201007f1f4 |    511 |   49 //google admob
 27434e156b2dbd3924c12973f6b81da2 |   2416 |   49 //google admob
 9b427b20611f36cc72f860bbce217479 |    641 |   49 //copy_helper_block
 02ece152c1e10063b14ce529d0716242 |    721 |   48
 d800be4358f5db61b858d6a75f557a05 |    567 |   48
 362660d27ace82b32af8718ee9e0a392 |    536 |   46
 03f547b2fd8eeec96fdb54d0cc4df090 |    682 |   45
 c64d74f4912a1724acb1d0555fa0346e |    521 |   41
 1cb02e2dacf190d5a6806ff45555aa8b |   5064 |   40 //copy_helper_block
 22ab1f6009b24eb93871e59908674b14 |   1203 |   40 //copy_helper_block
 a34c34daea3a7a160ca795a9496b9ead |    951 |   39 //copy_helper_block
 b383b93deec8cc7ea3c7e922dbc67a89 |    956 |   39
 f9166604857664b2568fa9bbb0c3e596 |   1476 |   39
 565a57883b785b22bf4ca191d2c0cbc9 |   2989 |   38
 fd872b8a390cb8bb15e0500b4151b07d |    608 |   37
 6dc9ff4d747ac88df05e586df3d7907a |    626 |   36
 77a8e1352227efe8872a02604f040dd3 |    902 |   36
 b951b650d6f88d780a43402f44a68141 |    858 |   36
 35df6841bb0e1670addbbf0ab96fe87e |   1703 |   35
 98411b49ba3c4f914bdc9b835ea5178b |    534 |   35
 58fcca539fb0d7c3e45a0e43bd904341 |   1694 |   34
 5bfd151cbaf09b00970a5d34f78152c2 |   1489 |   34
 8d312239791e290e6c9f5a741d4f50d4 |    612 |   34
 0082cb78abfde42224d5206b6ee40eb7 |    619 |   33
 3eb2244272fe6ccd1e95c596385f4d8e |    537 |   33
 4c6f08b5c5b48a593b4c36ab0fdd1f1d |    562 |   33
 5947677408af529b9d34814a25fa6c9f |    549 |   33
 c2cae06d19c51af1cf3597970a82764f |   1210 |   33
 c854f27d7a5d3c4a03cd563a9ead140c |   1300 |   33
 d7c7a4cae60cdf4dbc8b0124dbec038c |    821 |   33
 e8bd9f16faee283d8eb658a3f8b35d48 |    562 |   33
 f5f4b179234870945e9d1ca1310e2d28 |    796 |   33
 628577600d7ab625598d5ee92b96bac3 |   1741 |   32
 7356550b745acba17efbc90ab6c35732 |    736 |   32
 7e70ee75b709b5015e002f69810aed93 |   1053 |   32 //destroy_helper_block
 9b8fd4865b3c6d4aabbdf9fc9b8ac2be |    936 |   32
 2995e8d3f576479ad0fc193df0f824cb |    771 |   31
 9178b0a5723c73d8d5d493199aadb80d |    649 |   31
 caaf3dd93c6bf818e09beb64ae0bb1b3 |    638 |   31
 f889e25c4d678059d6feaf342a88280c |    607 |   31
 1a1c9d18c3dc84708b8d0ebdaaa88a4a |  25066 |   30
 1dd80c81e22fa8b083db2ae6f5542936 |  45246 |   30
 2d13b7921712f0550ccb44e9e74f08be |   2709 |   30
 85fb9a0ad83ee42bfb37f7daba938560 |  12752 |   30 //CGRectMake
