name,count
VungleAdvertiserSDK             ,4
InMobiSDK                       ,6
SSWeChatSDK                     ,1
GoogleIDFASupport               ,892
GoogleAuthUtilities             ,153
UMengSocial                     ,6
UMengUShare                     ,297
GooglePlusUtilities             ,56
FirebaseAppIndexing             ,43
Batch                           ,21
GoogleAnalytics-iOS-SDK         ,39
VungleSDK-iOS                   ,2
MMUMOpenIM                      ,21
GoogleNetworkingUtilities       ,356
BugSense                        ,14
UMengMessage-NO-IDFA-SUN        ,2
WePay                           ,49
GoogleUtilities                 ,2395
BRRecord                        ,1486
Bugly                           ,1
PLCrashReporter                 ,143
ProximityKit                    ,1
Netmera-iOS-SDK                 ,1
YozioIOSSDK                     ,6
catest                          ,6
Google-Mobile-Ads-SDK           ,39
AppsFlyer-SDK                   ,30
GoogleSignIn                    ,255
PureWeb                         ,1
SmartAdServer-DisplaySDK        ,3
google-plus-ios-sdk             ,94
Brightcove-Video-Cloud-Player-SD,1
GoogleTagManager                ,755
NendSDK_iOS                     ,19
CAUMengSocial                   ,7
Heap                            ,6
MillennialMediaSDK              ,232
GoogleSymbolUtilities           ,404
Weixin                          ,18
TapSenseAds                     ,6
UMengSocialCOM                  ,18
(41 rows)
